ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
1037,Puffinus assimilis,Little Shearwater|Little Shearwater,Puffinus assimilis|Puffinus|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|Kermadec Islands|Political Region|Terrestrial
1038,Sterna albifrons sinensis,Eastern Little Tern|Eastern Little Tern,Sterna albifrons sinensis|Sterna albifrons|Sterna|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1039,Leucocarbo campbelli,Campbell Island Shag|Campbell Island Shag,Leucocarbo campbelli|Leucocarbo|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1040,Tringa incana,Wandering (Alaskan) Tattler|Wandering tattler|Wandering tattler|Wandering (Alaskan) Tattler,Tringa incana|Tringa|Tringinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
1041,Tadornini,,Tadornini|Tadorninae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1042,Anous minutus minutus,,Anous minutus minutus|Anous minutus|Anous|Megalopterinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|New Zealand|Political Region|
1043,Pseudodontornis,,Pseudodontornis|Pelagornithidae|Pelecanoidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1044,Chlidonias hybridus javanicus,Whiskered Tern,Chlidonias hybridus javanicus|Chlidonias hybridus|Chlidonias|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
1045,Puffinus newelli,Newell's Shearwater|Newell's Shearwater,Puffinus newelli|Puffinus|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
1046,Artamus,,Artamus|Artamidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1047,Eudyptes chrysocome filholi,Eastern Rockhopper Penguin|Eastern Rockhopper Penguin,Eudyptes chrysocome filholi|Eudyptes chrysocome|Eudyptes|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1048,Arenaria,,Arenaria|Arenariinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1049,Pealeornis,,Pealeornis|Oceanitinae|Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1050,Hemiphaga novaeseelandiae chathamensis,Chatham Island Pigeon|Chatham Island Pigeon,Hemiphaga novaeseelandiae chathamensis|Hemiphaga novaeseelandiae|Hemiphaga|Ptilinopinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1051,Pygoscelis antarctica,Chinstrap Penguin|Chinstrap Penguin,Pygoscelis antarctica|Pygoscelis|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
1052,Phalacrocorax melanoleucos,Little Pied Cormorant|Little Shag|Little Pied Cormorant|Little Shag,Phalacrocorax melanoleucos|Phalacrocorax|Phalacrocoracidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
1053,Apteryx owenii,Little spotted kiwi|kiwi pukupuku|Little spotted kiwi|Kiwi-pukupuku|Little spotted kiwi,Apteryx owenii|Apteryx|Apterygidae|Apterygiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1054,Sceloglaux,,Sceloglaux|Buboninae|Strigidae|Strigiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1055,Diomedea immutabilis,Laysan albatross|Laysan albatross,Diomedea immutabilis|Diomedea|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1056,Sula dactylatra personata,Masked (Blue-faced) Booby|Masked (Blue-faced) Booby,Sula dactylatra personata|Sula dactylatra|Sula|Sulidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1057,Zosterops,,Zosterops|Zosteropidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1058,Daption capense capense,Cape Petrel|Cape Pigeon,Daption capense capense|Daption capense|Daption|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1059,Botaurus poiciloptilus,Matuku|Australasian Bittern|Australasian Bittern|Australasian Bittern|matuku hurepo|Australasian Bittern|Matuku,Botaurus poiciloptilus|Botaurus|Botaurinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1060,Procelsterna albivitta,,Procelsterna albivitta|Procelsterna|Megalopterinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1061,Heteralocha,,Heteralocha|Callaeidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1062,Bowdleria punctata caudata,"Snares fernbird|matata,|Snares Island Fernbird|Karoti|Karoti|Snares Island Fernbird",Bowdleria punctata caudata|Bowdleria punctata|Bowdleria|Sylviidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1063,Urodynamis,,Urodynamis|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1064,Porphyrio mantelli hochstetteri,Takahe|South Island takahe|Takahe|South Island takahe,Porphyrio mantelli hochstetteri|Porphyrio mantelli|Porphyrio|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1065,Pelecanoididae,,Pelecanoididae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1066,Alauda,,Alauda|Alaudidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1067,Serinus canaria,,Serinus canaria|Serinus|Fringillidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present|Cultivation/Captivity|New Zealand|Political Region|
1068,Platela,,Platela|Threskiornithidae|Threskiornithes|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1069,Turdus,,Turdus|Turdinae|Muscicapidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1070,Ploceidae,Weavers and Sparrows|Weaverbirds,Ploceidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1071,Catharacta,,Catharacta|Stercorariidae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1072,Eudyptes moseleyi,Moseley's Rockhopper Penguin|northern rockhopper Penguin|Moseley's Rockhopper Penguin,Eudyptes moseleyi|Eudyptes|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
1073,Sturnus vulgaris,Starling|Starling|Common Starling|Starling,Sturnus vulgaris|Sturnus|Sturninae|Sturnidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
1074,Sula leucogaster plotus,Brown booby|Brown booby|Brown booby,Sula leucogaster plotus|Sula leucogaster|Sula|Sulidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
1075,Eolophus,,Eolophus|Cacatuinae|Cacatuidae|Psittaciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1076,Calidris canutus rogersi,Lesser Knot,Calidris canutus rogersi|Calidris canutus|Calidris|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1077,Ptilinopinae,Fruit-pigeons,Ptilinopinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1078,Corvus moriorum,Chatham Island raven|Chatham Islands raven|Chatham Island raven,Corvus moriorum|Corvus|Corvidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Extinct||New Zealand|Political Region|
1079,Glareola maldivarum,Oriental Pratincole|Oriental Pratincole|Oriental Pratincole|Oriental Pratincole,Glareola maldivarum|Glareola|Glareolinae|Glareolidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
1080,Morus serrator,Australasian gannet|Takapu|Australasian gannet|Takapu|Australasian gannet|Takapu|Australasian gannet,Morus serrator|Morus|Sulidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1081,Fregata ariel,Lesser Frigatebird,Fregata ariel|Fregata|Fregatidae|Fregatae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
1082,Procellaria aequinoctialis,White-chinned Petrel|shoemaker|White-chinned Petrel|Cape hen|whitechinned Petrel|white chinned Petrel|White-chinned Petrel,Procellaria aequinoctialis|Procellaria|Procellariinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|Subantarctic Islands|Political Region|Terrestrial
1083,Gallinula ventralis,Black-tailed Native-hen|Black-tailed Native-hen|Black-tailed Native-hen|Black-tailed native hen,Gallinula ventralis|Gallinula|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
1084,Podicipedidae,Grebes|Grebes,Podicipedidae|Podicipediformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1085,Cacatua galerita,Sulphur-crested cockatoo|Sulphur-crested cockatoo,Cacatua galerita|Cacatua|Psittacidae|Psittaciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|North Island|Political Region|Terrestrial
1086,Porphyrio mantelli mantelli,Takahe|Notornis|North Island Takahe,Porphyrio mantelli mantelli|Porphyrio mantelli|Porphyrio|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
1087,Gallirallus philippensis,Banded Rail|Banded Rail,Gallirallus philippensis|Gallirallus|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1088,Megalurus,,Megalurus|Megaluridae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1089,Puffinus (Puffinus) puffinus puffinus,Manx Shearwater,Puffinus (Puffinus) puffinus puffinus|Puffinus|Puffinus|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
1090,Urodynamis taitensis,Long-tailed Cuckoo,Urodynamis taitensis|Urodynamis|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|North Island|Political Region|Terrestrial
1091,Glareola,,Glareola|Glareolinae|Glareolidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1092,Hirundo ariel,Fairy martin|Fairy martin,Hirundo ariel|Hirundo|Hirundinidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1093,Egretta sacra sacra,Matuku-moana|Blue Heron|Reef Heron|matuku moana|eastern reef egret|Reef Heron,Egretta sacra sacra|Egretta sacra|Egretta|Ardeinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1094,Haematopus,,Haematopus|Haematopodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1095,Cacatuinae,,Cacatuinae|Cacatuidae|Psittaciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1096,Tringa nebularia,Greenshank|Greenshank|Greenshank|Greenshank,Tringa nebularia|Tringa|Tringinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
1097,Aptenodytes ridgeni,,Aptenodytes ridgeni|Aptenodytes|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
